# cyclic_registry — FairMol export
# total: 2240  |  cyclic: 2000  |  true_heterocycles: 1992  |  functional_groups: 178  |  biological: 62
# smarts = universal (RDKit [#6]/[#7] notation, matches aromatic + Kekule)
# smarts_original = Kekule original
#
pattern_id	name	group	smarts	smarts_original	is_true_heterocycle	heterocycle_family	heterocycle_family_normalized	heterocycle_superclass	ring_count	ring_atom_count	hetero_ring_atom_count
cyclic_5_azaspiro_2_4_heptan_7_one	5-Azaspiro[2.4]heptan-7-one	cyclic	[#6]1-[#6]-[#6]-12-[#6]-[#7]-[#6]-[#6]-2=[#8]	C1CC12CNCC2=O	True	azaspiro-like	azaspiro-like	heterocycle	2	7	1
cyclic_5_azaspiro_2_4_heptane	5-Azaspiro[2.4]heptane	cyclic	[#6]1-[#6]-[#6]-12-[#6]-[#6]-[#7]-[#6]-2	C1CC12CCNC2	True	azaspiro-like	azaspiro-like	heterocycle	2	7	1
cyclic_azaspiro_2_3_hexane	Azaspiro[2.3]hexane	cyclic	[#6]1-[#6]-[#6]2(-[#6]-1)-[#6]-[#7]-2	C1CC2(C1)CN2	True	azaspiro-like	azaspiro-like	heterocycle	2	6	1
cyclic_1_2_3_7_oxatriazepine	1,2,3,7-Oxatriazepine	cyclic	[#6]1=[#6]-[#7]=[#7]-[#8]-[#7]=[#6]-1	C1=CN=NON=C1	True	azepine-like	azepine-like	medium heterocycle	1	7	4
cyclic_1_2_4_5_tetrazepine	1,2,4,5-Tetrazepine	cyclic	[#6]1=[#7]-[#7]-[#6]=[#7]-[#7]=[#6]-1	C1=NNC=NN=C1	True	azepine-like	azepine-like	medium heterocycle	1	7	4
cyclic_1_2_4_6_tetrazepine	1,2,4,6-Tetrazepine	cyclic	[#6]1=[#7]-[#6]=[#7]-[#6]=[#7]-[#7]-1	C1=NC=NC=NN1	True	azepine-like	azepine-like	medium heterocycle	1	7	4
cyclic_1_2_4_7_thiatriazepine	1,2,4,7-Thiatriazepine	cyclic	[#6]1=[#7]-[#6]=[#7]-[#16]-[#7]=[#6]-1	C1=NC=NSN=C1	True	azepine-like	azepine-like	medium heterocycle	1	7	4
cyclic_1_2_4_dithiazepine	1,2,4-Dithiazepine	cyclic	[#6]1-[#7]=[#6]-[#6]=[#6]-[#16]-[#16]-1	C1N=CC=CSS1	True	azepine-like	azepine-like	medium heterocycle	1	7	3
cyclic_1_2_4_triazepine	1,2,4-Triazepine	cyclic	[#6]1=[#6]-[#7]-[#7]=[#6]-[#7]=[#6]-1	C1=CNN=CN=C1	True	azepine-like	azepine-like	medium heterocycle	1	7	3
cyclic_1_2_4_triazepine_3_thione	1,2,4-Triazepine-3-thione	cyclic	[#6]1:[#6]:[#7]:[#7]:[#6](=[#16]):[#7]:[#6]:1	C1=CN=NC(=S)N=C1	True	azepine-like	azepine-like	medium heterocycle	1	7	3
cyclic_1_2_5_6_oxatriazepine	1,2,5,6-Oxatriazepine	cyclic	[#6]1=[#7]-[#7]=[#6]-[#8]-[#7]=[#6]-1	C1=NN=CON=C1	True	azepine-like	azepine-like	medium heterocycle	1	7	4
cyclic_1_2_5_triazepine	1,2,5-Triazepine	cyclic	[#6]1=[#6]-[#7]=[#6]-[#6]=[#7]-[#7]-1	C1=CN=CC=NN1	True	azepine-like	azepine-like	medium heterocycle	1	7	3
cyclic_1_2_dihydroazepine_3_5_dione	1,2-Dihydroazepine-3,5-dione	cyclic	[#6]1-[#6](=[#8])-[#6]-[#7]-[#6]=[#6]-[#6]-1=[#8]	C1C(=O)CNC=CC1=O	True	azepine-like	azepine-like	medium heterocycle	1	7	1
cyclic_1_2_dihydroazepine_3_thione	1,2-Dihydroazepine-3-thione	cyclic	[#6]1-[#6](=[#16])-[#6]=[#6]-[#6]=[#6]-[#7]-1	C1C(=S)C=CC=CN1	True	azepine-like	azepine-like	medium heterocycle	1	7	1
cyclic_1_2_dihydroazepine_5_7_dione	1,2-Dihydroazepine-5,7-dione	cyclic	[#6]1-[#6]=[#6]-[#6](=[#8])-[#6]-[#6](=[#8])-[#7]-1	C1C=CC(=O)CC(=O)N1	True	azepine-like	azepine-like	medium heterocycle	1	7	1
cyclic_1_2_dihydroazepine_7_thione	1,2-Dihydroazepine-7-thione	cyclic	[#6]1-[#6]=[#6]-[#6]=[#6]-[#6](=[#16])-[#7]-1	C1C=CC=CC(=S)N1	True	azepine-like	azepine-like	medium heterocycle	1	7	1
cyclic_1_2_oxazepine	1,2-Oxazepine	cyclic	[#6]1=[#6]-[#6]=[#7]-[#8]-[#6]=[#6]-1	C1=CC=NOC=C1	True	azepine-like	azepine-like	medium heterocycle	1	7	2
cyclic_1_3_2_dithiazepine	1,3,2-Dithiazepine	cyclic	[#6]1:[#6]:[#16]:[#7H]:[#16]:[#6]:[#6]:1	C1=CSNSC=C1	True	azepine-like	azepine-like	medium heterocycle	1	7	3
cyclic_1_3_5_dioxazepine	1,3,5-Dioxazepine	cyclic	[#6]1-[#8]-[#6]=[#6]-[#7]=[#6]-[#8]-1	C1OC=CN=CO1	True	azepine-like	azepine-like	medium heterocycle	1	7	3
cyclic_1_3_5_triazepine	1,3,5-Triazepine	cyclic	[#6]1=[#6]-[#7]=[#6]-[#7]=[#6]-[#7]-1	C1=CN=CN=CN1	True	azepine-like	azepine-like	medium heterocycle	1	7	3
cyclic_1_3_6_oxathiazepine	1,3,6-Oxathiazepine	cyclic	[#6]1-[#8]-[#6]=[#7]-[#6]=[#6]-[#16]-1	C1OC=NC=CS1	True	azepine-like	azepine-like	medium heterocycle	1	7	3
cyclic_1_3_dihydro_azepine_2_thione	1,3-Dihydro-azepine-2-thione	cyclic	[#6]1-[#6]=[#6]-[#6]=[#6]-[#7]-[#6]-1=[#16]	C1C=CC=CNC1=S	True	azepine-like	azepine-like	medium heterocycle	1	7	1
cyclic_1_3_oxazepine	1,3-Oxazepine	cyclic	[#6]1=[#6]-[#7]=[#6]-[#8]-[#6]=[#6]-1	C1=CN=COC=C1	True	azepine-like	azepine-like	medium heterocycle	1	7	2
cyclic_1_3_oxazepine_2_3h_thione	1,3-Oxazepine-2(3h)-thione	cyclic	[#6]1=[#6]-[#7]-[#6](=[#16])-[#8]-[#6]=[#6]-1	C1=CNC(=S)OC=C1	True	azepine-like	azepine-like	medium heterocycle	1	7	2
cyclic_1_3_oxazepine_4_7_dione	1,3-Oxazepine-4,7-dione	cyclic	[#6]1:[#6]:[#6](=[#8]):[#8]:[#6]:[#7]:[#6]:1=[#8]	C1=CC(=O)OC=NC1=O	True	azepine-like	azepine-like	medium heterocycle	1	7	2
cyclic_1_3_selenazepine	1,3-Selenazepine	cyclic	[#6]1=[#6]-[#7]=[#6]-[Se]-[#6]=[#6]-1	C1=CN=C[Se]C=C1	True	azepine-like	azepine-like	medium heterocycle	1	7	2
cyclic_1_3_dihydrospiro_azetidine_2_2_indene	1',3'-Dihydrospiro[azetidine-2,2'-indene]	cyclic	[#6]1-[#6]-[#7]-[#6]-12-[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#6]-2	C1CNC12CC3=CC=CC=C3C2	True	azetidine-like	azetidine-like	small saturated heterocycle	3	12	1
cyclic_1_3_dihydrospiro_azetidine_3_2_indene	1',3'-Dihydrospiro[azetidine-3,2'-indene]	cyclic	[#6]1-[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2-[#6]-[#6]-12-[#6]-[#7]-[#6]-2	C1C2=CC=CC=C2CC13CNC3	True	azetidine-like	azetidine-like	small saturated heterocycle	3	12	1
cyclic_1_2_4_oxadiazetidine	1,2,4-Oxadiazetidine	cyclic	[#6]1-[#7]-[#8]-[#7]-1	C1NON1	True	azetidine-like	azetidine-like	small saturated heterocycle	1	4	3
cyclic_1_2_4_oxadiazetidine_3_thione	1,2,4-Oxadiazetidine-3-thione	cyclic	[#6]1(=[#16]):[#7H]:[#8]:[#7H]:1	C1(=S)NON1	True	azetidine-like	azetidine-like	small saturated heterocycle	1	4	3
cyclic_1_2_diazetidine	1,2-Diazetidine	cyclic	[#6]1-[#6]-[#7]-[#7]-1	C1CNN1	True	azetidine-like	azetidine-like	small saturated heterocycle	1	4	2
cyclic_1_2_diazetidine_1_2_dioxide	1,2-Diazetidine 1,2-dioxide	cyclic	[#6]1-[#6]-[#7H+](-[#7H+]-1-[#8-])-[#8-]	C1C[NH+]([NH+]1[O-])[O-]	True	azetidine-like	azetidine-like	small saturated heterocycle	1	4	2
cyclic_1_2_dioxidodiazetidine	1,2-Dioxidodiazetidine	cyclic	[#6]1-[#6]-[#7](-[#7]-1-[#8-])-[#8-]	C1CN(N1[O-])[O-]	True	azetidine-like	azetidine-like	small saturated heterocycle	1	4	2
cyclic_1_2_oxazetidine	1,2-Oxazetidine	cyclic	[#6]1-[#6]-[#8]-[#7]-1	C1CON1	True	azetidine-like	azetidine-like	small saturated heterocycle	1	4	2
cyclic_1_2_thiazetidine	1,2-Thiazetidine	cyclic	[#6]1-[#6]-[#16]-[#7]-1	C1CSN1	True	azetidine-like	azetidine-like	small saturated heterocycle	1	4	2
cyclic_1_2_thiazetidine_1_1_dioxide	1,2-Thiazetidine 1,1-dioxide	cyclic	[#6]1-[#6]-[#16](=[#8])(=[#8])-[#7]-1	C1CS(=O)(=O)N1	True	azetidine-like	azetidine-like	small saturated heterocycle	1	4	2
cyclic_1_3_2_dioxazetidine	1,3,2-Dioxazetidine	cyclic	[#6]1-[#8]-[#7]-[#8]-1	C1ONO1	True	azetidine-like	azetidine-like	small saturated heterocycle	1	4	3
cyclic_1_3_2_oxathiazetidine_4_thione	1,3,2-Oxathiazetidine-4-thione	cyclic	[#6]1(=[#16]):[#8]:[#7H]:[#16]:1	C1(=S)ONS1	True	azetidine-like	azetidine-like	small saturated heterocycle	1	4	3
cyclic_1_3_diazetidine	1,3-Diazetidine	cyclic	[#6]1-[#7]-[#6]-[#7]-1	C1NCN1	True	azetidine-like	azetidine-like	small saturated heterocycle	1	4	2
cyclic_1_3_diazetidine_2_4_dione	1,3-Diazetidine-2,4-dione	cyclic	[#6]1(=[#8])-[#7]-[#6](=[#8])-[#7]-1	C1(=O)NC(=O)N1	True	azetidine-like	azetidine-like	small saturated heterocycle	1	4	2
cyclic_1_3_diazetidine_2_4_dithione	1,3-Diazetidine-2,4-dithione	cyclic	[#6]1(=[#16])-[#7]-[#6](=[#16])-[#7]-1	C1(=S)NC(=S)N1	True	azetidine-like	azetidine-like	small saturated heterocycle	1	4	2
cyclic_1_3_diazetidine_2_thione	1,3-Diazetidine-2-thione	cyclic	[#6]1-[#7]-[#6](=[#16])-[#7]-1	C1NC(=S)N1	True	azetidine-like	azetidine-like	small saturated heterocycle	1	4	2
cyclic_1_3_oxazetidine	1,3-Oxazetidine	cyclic	[#6]1-[#7]-[#6]-[#8]-1	C1NCO1	True	azetidine-like	azetidine-like	small saturated heterocycle	1	4	2
cyclic_1_3_oxazetidine_2_4_dione	1,3-Oxazetidine-2,4-dione	cyclic	[#6]1(=[#8])-[#7]-[#6](=[#8])-[#8]-1	C1(=O)NC(=O)O1	True	azetidine-like	azetidine-like	small saturated heterocycle	1	4	2
cyclic_1_3_oxazetidine_2_thione	1,3-Oxazetidine-2-thione	cyclic	[#6]1-[#7]-[#6](=[#16])-[#8]-1	C1NC(=S)O1	True	azetidine-like	azetidine-like	small saturated heterocycle	1	4	2
cyclic_1_3_thiazetidine	1,3-Thiazetidine	cyclic	[#6]1-[#7]-[#6]-[#16]-1	C1NCS1	True	azetidine-like	azetidine-like	small saturated heterocycle	1	4	2
cyclic_1_3_thiazetidine_2_thione	1,3-Thiazetidine-2-thione	cyclic	[#6]1-[#7]-[#6](=[#16])-[#16]-1	C1NC(=S)S1	True	azetidine-like	azetidine-like	small saturated heterocycle	1	4	2
cyclic_1_oxidoazetidine	1-Oxidoazetidine	cyclic	[#6]1-[#6]-[#7](-[#6]-1)-[#8-]	C1CN(C1)[O-]	True	azetidine-like	azetidine-like	small saturated heterocycle	1	4	1
cyclic_1_oxidodiazetidine	1-Oxidodiazetidine	cyclic	[#6]1-[#6]-[#7](-[#7]-1)-[#8-]	C1CN(N1)[O-]	True	azetidine-like	azetidine-like	small saturated heterocycle	1	4	2
cyclic_2_oxidooxazetidine	2-Oxidooxazetidine	cyclic	[#6]1-[#6]-[#8]-[#7]-1-[#8-]	C1CON1[O-]	True	azetidine-like	azetidine-like	small saturated heterocycle	1	4	2
cyclic_2_oxidothiazetidine	2-Oxidothiazetidine	cyclic	[#6]1-[#6]-[#16]-[#7]-1-[#8-]	C1CSN1[O-]	True	azetidine-like	azetidine-like	small saturated heterocycle	1	4	2
cyclic_2_oxidothiazetidine_1_oxide	2-Oxidothiazetidine 1-oxide	cyclic	[#6]1-[#6]-[#16](=[#8])-[#7]-1-[#8-]	C1CS(=O)N1[O-]	True	azetidine-like	azetidine-like	small saturated heterocycle	1	4	2
cyclic_4_oxoazetidine_2_thiolate	4-Oxoazetidine-2-thiolate	cyclic	[#6]1-[#6](-[#7]-[#6]-1=[#8])-[#16-]	C1C(NC1=O)[S-]	True	azetidine-like	azetidine-like	small saturated heterocycle	1	4	1
cyclic_azetidine	Azetidine	cyclic	[#6]1-[#6]-[#7]-[#6]-1	C1CNC1	True	azetidine-like	azetidine-like	small saturated heterocycle	1	4	1
cyclic_azetidine_ketone	Azetidine ketone	cyclic	[#6]1-[#6]-[#7]2-[#6]-1-[#6]-2=[#8]	C1CN2C1C2=O	True	azetidine-like	azetidine-like	small saturated heterocycle	2	5	1
cyclic_azetidine_n_oxide	Azetidine n-oxide	cyclic	[#6]1-[#6]-[#7H+](-[#6]-1)-[#8-]	C1C[NH+](C1)[O-]	True	azetidine-like	azetidine-like	small saturated heterocycle	1	4	1
cyclic_azetidine_2_3_4_trione	Azetidine-2,3,4-trione	cyclic	[#6]1(=[#8]):[#6](=[#8]):[#7H]:[#6]:1=[#8]	C1(=O)C(=O)NC1=O	True	azetidine-like	azetidine-like	small saturated heterocycle	1	4	1
cyclic_azetidine_2_3_dione	Azetidine-2,3-dione	cyclic	[#6]1-[#6](=[#8])-[#6](=[#8])-[#7]-1	C1C(=O)C(=O)N1	True	azetidine-like	azetidine-like	small saturated heterocycle	1	4	1
cyclic_azetidine_2_4_dione	Azetidine-2,4-dione	cyclic	[#6]1-[#6](=[#8])-[#7]-[#6]-1=[#8]	C1C(=O)NC1=O	True	azetidine-like	azetidine-like	small saturated heterocycle	1	4	1
cyclic_azetidine_2_thione	Azetidine-2-thione	cyclic	[#6]1-[#6]-[#7]-[#6]-1=[#16]	C1CNC1=S	True	azetidine-like	azetidine-like	small saturated heterocycle	1	4	1
cyclic_azetidine_3_thione	Azetidine-3-thione	cyclic	[#6]1-[#6](=[#16])-[#6]-[#7]-1	C1C(=S)CN1	True	azetidine-like	azetidine-like	small saturated heterocycle	1	4	1
cyclic_diazetidine_3_4_dione	Diazetidine-3,4-dione	cyclic	[#6]1(=[#8])-[#6](=[#8])-[#7]-[#7]-1	C1(=O)C(=O)NN1	True	azetidine-like	azetidine-like	small saturated heterocycle	1	4	2
cyclic_diazetidine_3_4_dithione	Diazetidine-3,4-dithione	cyclic	[#6]1(=[#16])-[#6](=[#16])-[#7]-[#7]-1	C1(=S)C(=S)NN1	True	azetidine-like	azetidine-like	small saturated heterocycle	1	4	2
cyclic_diazetidine_3_thione	Diazetidine-3-thione	cyclic	[#6]1-[#6](=[#16])-[#7]-[#7]-1	C1C(=S)NN1	True	azetidine-like	azetidine-like	small saturated heterocycle	1	4	2
cyclic_dithiazetidine_2_oxide	Dithiazetidine 2-oxide	cyclic	[#6]1-[#7]-[#16](=[#8])-[#16]-1	C1NS(=O)S1	True	azetidine-like	azetidine-like	small saturated heterocycle	1	4	3
cyclic_oxadiazetidine	Oxadiazetidine	cyclic	[#6]1-[#7]-[#7]-[#8]-1	C1NNO1	True	azetidine-like	azetidine-like	small saturated heterocycle	1	4	3
